store_uid,uuid,short_name,store_name,store_desc,store_add1,store_add2,store_city,store_state,store_zip,store_address_full,Latitude,Longitude,rand_uuid
78216_5dc1799d_containerstore_san_antonio,5dc1799d,containerstore,Container Store,San Antonio,333 NW Loop 410,,San Antonio,TX,78216,"333 NW Loop 410 San Antonio, TX 78216",29.522611,-98.498396,47cc37a0
80920_1df808bb_containerstore_colorado_springs,1df808bb,containerstore,Container Store,Colorado Springs,1925 Briargate Pkwy,Ste. 611,Colorado Springs,CO,80920,"1925 Briargate Pkwy Colorado Springs, CO 80920",38.9639775,-104.7922973,9c8fc918
80124_91182978_containerstore_lone_tree,91182978,containerstore,Container Store,Lone Tree,8687 Park Meadows Center Drive,,Lone Tree,CO,80124,"8687 Park Meadows Center Drive Lone Tree, CO 80124",39.5594483,-104.8777068,993de028
80206_64f5be30_containerstore_denver,64f5be30,containerstore,Container Store,Denver,3110 E. First Ave,Suite 2010,Denver,CO,80206,"3110 E. First Ave Denver, CO 80206",39.7173062,-104.951206,4424e8d5
80021_9fed7268_containerstore_broomfield,9fed7268,containerstore,Container Store,Broomfield,51 W. FlatIron Crossing Dr.,#ANC02,Broomfield,CO,80021,"51 W. FlatIron Crossing Dr. Broomfield, CO 80021",39.9312215,-105.1320537,223eb9c0
87110_c61e5845_containerstore_albuquerque,c61e5845,containerstore,Container Store,Albuquerque,6600 Menaul Blvd,,Albuquerque,NM,87110,"6600 Menaul Blvd Albuquerque, NM 87110",35.105509,-106.5693718,6dff7867
85705_edfb4511_containerstore_tucson,edfb4511,containerstore,Container Store,Tucson,4500 N. Oracle Rd,,Tucson,AZ,85705,"4500 N. Oracle Rd Tucson, AZ 85705",32.2885001,-110.9741348,4ba7c34f
84107_58bea564_containerstore_murray,58bea564,containerstore,Container Store,Murray,6191 S. State St,Suite 400,Murray,UT,84107,"6191 S. State St Murray, UT 84107",40.6361941,-111.8878794,c37ba714
85054_5342ca60_containerstore_phoenix,5342ca60,containerstore,Container Store,Phoenix,18550 North Scottsdale Road,,Phoenix,AZ,85054,"18550 North Scottsdale Road Phoenix, AZ 85054",33.6537229,-111.9266318,780eee43
85016_b6f379d3_containerstore_phoenix,b6f379d3,containerstore,Container Store,Phoenix,4949 N. 20th Street,,Phoenix,AZ,85016,"4949 N. 20th Street Phoenix, AZ 85016",33.5082377,-112.0385548,4752b974
85308_64040768_containerstore_glendale,64040768,containerstore,Container Store,Glendale,7580 W. Bell Rd,,Glendale,AZ,85308,"7580 W. Bell Rd Glendale, AZ 85308",33.6398132,-112.2223196,1919fdf3
89119_db2c2e46_containerstore_las_vegas,db2c2e46,containerstore,Container Store,Las Vegas,6521 Las Vegas Blvd South,C-103,Las Vegas,NV,89119,"6521 Las Vegas Blvd South Las Vegas, NV 89119",36.0702638,-115.1721595,8ebb22e4
92108_675d825e_containerstore_san_diego,675d825e,containerstore,Container Store,San Diego,7097 Friars Road,,San Diego,CA,92108,"7097 Friars Road San Diego, CA 92108",32.769873,-117.1625497,983f9092
